Author,Message
KSF Bot,"Bad arguments: First argument should be a string, second should be an array of strings"
qr,!top surf_exile s1
KSF Bot,
roeeee,!prinfo axiom b4
pokimanesfeet,That’s old news
chisen.,have u seen the thing?
KSF Bot,
erksterr,!prinfo surf_axiom b4
KSF Bot,
tucks.,!prinfo axiom b4
KSF Bot,
djfish,!prinfo surf_axiom b4
tucks.,.
royssi,<@260064252985999360>
chisen.,what is that thing
dreamsi,real
pokimanesfeet,
dreamsi,
tucks.,gamer
jolux,on  ksf
jolux,"well ok anyways i found out i spent 11 minutes, i think"
jolux,peta grifin
dreamsi,battle pass
jolux,fortnite
tucks.,
jolux,"damn shee, bhop actually better?"
tucks.,unsure
jolux,for US servers aswell=?
jolux,awesome
tucks.,oh ppl are saying the internet is down
jolux,i aint loggin in
tucks.,<:OME:1050214186858315846>
KSF Bot,It appears you did not follow the instructions properly. You need to connect your account via the website linked to you by the bot in your DMs.
tucks.,!p <@229142710064250880>
KSF Bot,
jolux,!help
KSF Bot,"Unknown command, type !help for a list of commands."
jolux,!servers
jolux,!link
tucks.,<:suwoo:364594916464132096>
chisen.,wait why am i on my period whats that symbol <a:WHAT:1129397678686601276>
chisen.,how to surf
fluuupsi,Ur cracked xd
tucks.,https://youtu.be/tWYzqitlsQ8
jolux,<:Sad:901183582490480700>
KSF Bot,"Invalid Usage:
!prinfo [mapName] [@player|#rank] or !prinfo [mapName] [@player|#rank] [sX|bX]"
jolux,!prinfo surf_axiom jolux b4
KSF Bot,
jolux,!prinfo surf_axiom #122 b4
KSF Bot,
jolux,!prinfo surf_axiom #122
KSF Bot,
jolux,!top surf_axiom b4
KSF Bot,
jolux,!top surf_aura b1
KSF Bot,"Invalid Usage:
!top [mapName] or !top [mapName] [sX|bX]"
jolux,!top surf_aura b1
KSF Bot,btop is no longer supported. You can use `!top [mapName] [sX|bX]` instead.
jolux,!btop surf_aura
KSF Bot,
jolux,!top surf_aura
KSF Bot,
jolux,!wr surf_aura
jolux,surf:aura
KSF Bot,"Unknown command, type !help for a list of commands."
jolux,!bwr surf_aroma
KSF Bot,"Invalid Usage:
!prinfo [mapName] [@player|#rank] or !prinfo [mapName] [@player|#rank] [sX|bX]"
jolux,!prinfo surf_axiom <@229142710064250880> b4
KSF Bot,"Invalid Usage:
!prinfo [mapName] [@player|#rank] or !prinfo [mapName] [@player|#rank] [sX|bX]"
jolux,!prinfo axoim
KSF Bot,"Unknown command, type !help for a list of commands."
jolux,!prtime
KSF Bot,
tucks.,!cp <@187570516079542282>
ellyever,hahaaha wtf
kingyoshi.,Bullied victims would come on the screen and he'd laugh at them crying and talking about their trauma. 💀
kingyoshi.,He hated that whole agenda.
tucks.,hahaaha wtf
kingyoshi.,"I didn't take it of and lost an hour worth of work because I forgot to save, guy was a menace."
kingyoshi.,"I put a shirtless guy with a rainbow flag on his chest on my screen and he told me to ""Get that gay fuck of my screen or he's turning of my PC""."
kingyoshi.,"Had no filter, would say the most outrageous jokes ever."
kingyoshi.,Cold teacher but was hella funny.
kingyoshi.,"Some kid was struggling with one of the units and I remember him going ""Just read and do what it says you dopey twat""."
tucks.,hahaha
kingyoshi.,I had one who would dash mouses at students lmao.
tucks.,so hes rlly good
tucks.,ye my current teacher did my exact course like 3 years ago so hes pretty much my age
kingyoshi.,"I only had one cool teacher, which was the one I added."
tucks.,kinda based
tucks.,he opened with 'im a pc gamer i was supreme on csgo'
tucks.,in his intro lecture
tucks.,haha my new teacher for final year
kingyoshi.,I still have one of them added on steam lol.
kingyoshi.,I never went uni but I used to email my college teachers a decent amount.
tucks.,but pinging all from discord i see instantly
tucks.,like they still email
tucks.,than emails
tucks.,its so much more easier
kingyoshi.,wtf.
tucks.,and i screen share my vs code lol
tucks.,i just ping my teacher and say hop in vc
tucks.,if our code doesnt run
tucks.,ye
kingyoshi.,lmao what?
tucks.,so theyre kinda chill
tucks.,my uni uses discord
kingyoshi.,https://tenor.com/view/sml-jeffy-good-luck-with-that-daddy-supermariologan-good-luck-with-that-gif-26390027
tucks.,hope he likes it
tucks.,im keeping the name tag
tucks.,bet
kingyoshi.,Maybe will not instead of wont.
kingyoshi.,Probably how I would've typed it.
kingyoshi.,"""Hello professor *name* 

I wont be able to attend your lesson on Monday, I will up catch up with the lessons online.

Kind regards

daddylover72"""
tucks.,"'yo sry i have covid so wont be in on monday, ill catch up online'"
kingyoshi.,"I do the ""kind regards"" shit."
kingyoshi.,I could never.
tucks.,think i said 'yo' in my last email to professor lol
kingyoshi.,Lotta emailing.
tucks.,? *
tucks.,Why do you talk so formal.
kingyoshi.,A fatass who was pretty good.
tucks.,who
kingyoshi.,Just clocked penelope is in the chat.
tucks.,looks epic
kingyoshi.,https://gamebanana.com/mods/123036
kingyoshi.,spectacular.
tucks.,legends 2?
tucks.,sheesh
kingyoshi.,
kingyoshi.,Then I was trying to revamp an old ass map that was pretty fun.
kingyoshi.,Golden gloves.
tucks.,superman hands
kingyoshi.,They're not poggers.
tucks.,but maybe the 5 tricks are poggers
kingyoshi.,You can do like 5 tricks max.
kingyoshi.,lol
tucks.,get it on
tucks.,@ frag
kingyoshi.,
kingyoshi.,Also made this since I was more used to making combat surf stuff.
tucks.,<@141398103407329280> go wr
tucks.,looks good
tucks.,bbb_2
kingyoshi.,"Was someone else playing it, think this was an older version of me just mucking around, trying to make something."
kingyoshi.,https://cdn.discordapp.com/attachments/1075582369605615679/1155606588493672541/Desktop_2023.09.24_-_16.45.48.03.mp4?ex=653ec500&is=652c5000&hm=223223a164b6988179c61a652e53a7c178f75e8c8bf5137e4021a85dd96695e1&
kingyoshi.,Nvm
tucks.,"Okay sir, sorry to hear."
kingyoshi.,"No I don't, thought I did."
kingyoshi.,Wait.
tucks.,how dont u have clip
kingyoshi.,Maybe.
tucks.,ur the man with 10k videos
kingyoshi.,No.
tucks.,surely u got a vid
tucks.,requires me to open css
kingyoshi.,"Think this was me trying to make ""something"" with a booster."
kingyoshi.,Maybe something in this.
kingyoshi.,Not sure what else I have.
kingyoshi.,I made a stage for someone.
tucks.,leak
kingyoshi.,I have.
tucks.,surely u got the memories for that
tucks.,surf needs an actual old style map
tucks.,get in hammer man
kingyoshi.,Which I probably don't.
tucks.,bandicam
kingyoshi.,2010 if I remember.
tucks.,is this from 1999
tucks.,also why is vid 240p max
tucks.,u just mad im more gangster than u
tucks.,won the argument for me
tucks.,the guy who just randomely replied with for realz doe
kingyoshi.,It sounds like two mini Exydos's.
tucks.,FOR REALZZ DOE?
kingyoshi.,Best video I ever saved.
kingyoshi.,https://www.youtube.com/watch?v=5AXIg3e9LEE
kingyoshi.,<@260064252985999360> Rate video please.
tucks.,dont remmeber it
pokimanesfeet,<@260064252985999360> need coaching maxvel bonus
KSF Bot,
pokimanesfeet,!top listless b2
KSF Bot,btop is no longer supported. You can use `!top [mapName] [sX|bX]` instead.
pokimanesfeet,!btop #2 listless
KSF Bot,There is no linked steamID to the given user.
tucks.,!wrs <@350877504782729226>
KSF Bot,
pokimanesfeet,!top bob
KSF Bot,
pokimanesfeet,!top surf_gigapede b4
KSF Bot,
jolux,!top surf_brodderlands b1
KSF Bot,
jolux,!top surf_brodderlands
KSF Bot,
jolux,!wr surf_brodderlands
KSF Bot,"Invalid Usage:
!wr [mapName]"
jolux,!wr surf_broderlands b1
KSF Bot,"Invalid Usage:
!wr [mapName]"
jolux,!wr
mollyandciroc,so aids
arxxy,
KSF Bot,
arxxy,!bhist
KSF Bot,
arxxy,!top b2 rands
lurchente,barely
mollyandciroc,😭
lurchente,i was 2 then
lurchente,💀💀💀
kingyoshi.,"True, I actually created surf, Mariowned is just a puppet..."
tucks.,Bro invented surf
kingyoshi.,Think about -20
mollyandciroc,so when u were like 6
kingyoshi.,https://tenor.com/view/thanos-avenger-infinity-war-mad-titan-serious-gif-13675798
kingyoshi.,<@260064252985999360>
granis,<@229142710064250880> <@260064252985999360> https://youtu.be/9LT3a80ZT28?t=17389
syn.exe,https://www.youtube.com/watch?v=9JuZrmWmdh0 <:ThumbsUpCat:888587088054849596>
dreamsi,<:Chadge:1028129934151012352> rly
granis,strig map in wirtual bingo?
tucks.,tm main
tucks.,im noob now
tucks.,yes
